datetime,price,hour,action,soc,energy_delta,revenue
2025-09-22 14:00:00,8.431203120925643,14,CHARGE,60.0,10.0,-84.31203120925643
2025-09-22 15:00:00,30.662174115337223,15,HOLD,60.0,0.0,0.0
2025-09-22 16:00:00,89.5885634232014,16,DISCHARGE,50.0,-10.0,806.2970708088127
2025-09-22 17:00:00,126.01810995843198,17,DISCHARGE,40.0,-10.0,1134.1629896258878
2025-09-22 18:00:00,143.25887219236847,18,DISCHARGE,30.0,-10.0,1289.3298497313162
2025-09-22 19:00:00,247.33233460985875,19,DISCHARGE,20.0,-10.0,2225.991011488729
2025-09-22 20:00:00,145.92781581221274,20,DISCHARGE,10.0,-10.0,1313.3503423099146
2025-09-22 21:00:00,114.06921869487634,21,DISCHARGE,0.0,-10.0,1026.6229682538872
2025-09-22 22:00:00,108.43989508290598,22,HOLD,0.0,0.0,0.0
2025-09-22 23:00:00,93.40791377573716,23,HOLD,0.0,0.0,0.0
2025-09-23 00:00:00,82.0316694191213,0,HOLD,0.0,0.0,0.0
2025-09-23 01:00:00,81.22894116564323,1,HOLD,0.0,0.0,0.0
2025-09-23 02:00:00,80.27793826661826,2,HOLD,0.0,0.0,0.0
2025-09-23 03:00:00,80.12966362107136,3,HOLD,0.0,0.0,0.0
2025-09-23 04:00:00,83.59110965676976,4,HOLD,0.0,0.0,0.0
2025-09-23 05:00:00,100.24899914614257,5,HOLD,0.0,0.0,0.0
2025-09-23 06:00:00,124.05986205345044,6,HOLD,0.0,0.0,0.0
2025-09-23 07:00:00,167.8213341650348,7,HOLD,0.0,0.0,0.0
2025-09-23 08:00:00,95.44796838171008,8,HOLD,0.0,0.0,0.0
2025-09-23 09:00:00,39.998363865980174,9,HOLD,0.0,0.0,0.0
2025-09-23 10:00:00,10.220724705112406,10,CHARGE,10.0,10.0,-102.20724705112406
2025-09-23 11:00:00,10.000869196198034,11,CHARGE,20.0,10.0,-100.00869196198033
2025-09-23 12:00:00,10.098014653625317,12,CHARGE,30.0,10.0,-100.98014653625316
2025-09-23 13:00:00,11.948891263555629,13,CHARGE,40.0,10.0,-119.48891263555629
2025-09-23 14:00:00,41.99751512145739,14,HOLD,40.0,0.0,0.0
2025-09-23 15:00:00,92.482475470772,15,DISCHARGE,30.0,-10.0,832.342279236948
2025-09-23 16:00:00,112.80121482950972,16,DISCHARGE,20.0,-10.0,1015.2109334655875
2025-09-23 17:00:00,162.0590746639534,17,DISCHARGE,10.0,-10.0,1458.5316719755806
2025-09-23 18:00:00,188.28834816931945,18,DISCHARGE,0.0,-10.0,1694.5951335238751
2025-09-23 19:00:00,363.6001083938788,19,HOLD,0.0,0.0,0.0
2025-09-23 20:00:00,202.09834188042927,20,HOLD,0.0,0.0,0.0
2025-09-23 21:00:00,131.36111011693245,21,HOLD,0.0,0.0,0.0
2025-09-23 22:00:00,121.02790119795688,22,HOLD,0.0,0.0,0.0
2025-09-23 23:00:00,98.8787369045367,23,HOLD,0.0,0.0,0.0
2025-09-24 00:00:00,86.55148964889587,0,HOLD,0.0,0.0,0.0
2025-09-24 01:00:00,77.33800994974,1,HOLD,0.0,0.0,0.0
2025-09-24 02:00:00,76.69889509824473,2,HOLD,0.0,0.0,0.0
2025-09-24 03:00:00,71.26897531994089,3,HOLD,0.0,0.0,0.0
2025-09-24 04:00:00,89.73172514993635,4,HOLD,0.0,0.0,0.0
2025-09-24 05:00:00,133.86132741598198,5,HOLD,0.0,0.0,0.0
2025-09-24 06:00:00,149.9874733489107,6,HOLD,0.0,0.0,0.0
2025-09-24 07:00:00,134.9094757724342,7,HOLD,0.0,0.0,0.0
2025-09-24 08:00:00,100.98014653625316,8,HOLD,0.0,0.0,0.0
2025-09-24 09:00:00,70.24127863873649,9,HOLD,0.0,0.0,0.0
2025-09-24 10:00:00,15.988097125005751,10,CHARGE,10.0,10.0,-159.8809712500575
2025-09-24 11:00:00,15.057545901228634,11,CHARGE,20.0,10.0,-150.57545901228633
2025-09-24 12:00:00,12.782297029905465,12,CHARGE,30.0,10.0,-127.82297029905465
2025-09-24 13:00:00,15.088223414100408,13,CHARGE,40.0,10.0,-150.8822341410041
2025-09-24 14:00:00,44.778942955164815,14,HOLD,40.0,0.0,0.0
2025-09-24 15:00:00,95.38150043715456,15,DISCHARGE,30.0,-10.0,858.433503934391
2025-09-24 16:00:00,107.54002137200064,16,DISCHARGE,20.0,-10.0,967.8601923480057
2025-09-24 17:00:00,168.82857917099133,17,DISCHARGE,10.0,-10.0,1519.457212538922
2025-09-24 18:00:00,206.9300501577336,18,DISCHARGE,0.0,-10.0,1862.3704514196024
2025-09-24 19:00:00,265.99960119233265,19,HOLD,0.0,0.0,0.0
2025-09-24 20:00:00,156.58825153515386,20,HOLD,0.0,0.0,0.0
2025-09-24 21:00:00,112.99039282555232,21,HOLD,0.0,0.0,0.0
2025-09-24 22:00:00,90.60092134796992,22,HOLD,0.0,0.0,0.0
2025-09-24 23:00:00,78.36059371213244,23,HOLD,0.0,0.0,0.0
2025-09-25 00:00:00,72.46028540312808,0,HOLD,0.0,0.0,0.0
2025-09-25 01:00:00,70.66053798131739,1,HOLD,0.0,0.0,0.0
2025-09-25 02:00:00,66.19184693966245,2,HOLD,0.0,0.0,0.0
2025-09-25 03:00:00,65.05166604459488,3,HOLD,0.0,0.0,0.0
2025-09-25 04:00:00,67.10194648819171,4,HOLD,0.0,0.0,0.0
2025-09-25 05:00:00,80.00184065077231,5,HOLD,0.0,0.0,0.0
2025-09-25 06:00:00,108.88983193835864,6,HOLD,0.0,0.0,0.0
2025-09-25 07:00:00,128.90179616837864,7,HOLD,0.0,0.0,0.0
